id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
572061.0,2024-01-02,terça-feira,07:50:00,PB,101,117,CAAPORA,Manobra de mudança de faixa,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Aclive,Não,3,0,1,0,2,0,1,2,-7.41357983,-34.95743528,SPRF-PB,DEL01-PB,UOP02-DEL01-PB
572284.0,2024-01-03,quarta-feira,03:30:00,PB,230,"123,2",RIACHAO DO BACAMARTE,Reação tardia ou ineficiente do condutor,Colisão transversal,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta;Declive,Não,4,0,0,0,4,0,0,2,-7.25545435,-35.67290783,SPRF-PB,DEL02-PB,UOP01-DEL02-PB
572418.0,2024-01-03,quarta-feira,16:35:00,PB,104,"191,6",ALCANTIL,Condutor Dormindo,Colisão frontal,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Simples,Aclive;Reta,Não,7,1,2,2,1,1,4,3,-7.726364,-36.074449,SPRF-PB,DEL02-PB,UOP03-DEL02-PB
572498.0,2024-01-03,quarta-feira,23:25:00,PB,230,390,SAO BENTINHO,Velocidade Incompatível,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Curva,Sim,4,0,1,1,1,2,2,4,-6.8946,-37.7176,SPRF-PB,DEL03-PB,UOP02-DEL03-PB
573010.0,2024-01-06,sábado,18:35:00,PB,230,"256,2",ASSUNCAO,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Simples,Retorno Regulamentado;Reta;Interseção de Vias,Não,6,0,0,0,6,0,0,2,-7.0177,-36.6742,SPRF-PB,DEL03-PB,UOP01-DEL03-PB
573388.0,2024-01-08,segunda-feira,13:50:00,PB,104,"130,5",CAMPINA GRANDE,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Reta,Sim,2,0,0,1,1,0,1,2,-7.29013399,-35.89029705,SPRF-PB,DEL02-PB,UOP03-DEL02-PB
573496.0,2024-01-09,terça-feira,06:10:00,PB,101,"11,7",MAMANGUAPE,Velocidade Incompatível,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Curva;Aclive;Em Obras,Não,2,0,1,0,0,2,1,3,-6.59461177,-35.14474869,SPRF-PB,DEL01-PB,UOP04-DEL01-PB
573643.0,2024-01-09,terça-feira,19:50:00,PB,101,110,ALHANDRA,Suicídio (presumido),Atropelamento de Pedestre,Com Vítimas Fatais,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,Não,4,1,0,0,1,2,0,3,-7.35255626,-34.94940909,SPRF-PB,DEL01-PB,UOP02-DEL01-PB
573678.0,2024-01-10,quarta-feira,03:10:00,PB,101,"42,2",MAMANGUAPE,Ausência de reação do condutor,Saída de leito carroçável,Com Vítimas Fatais,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,2,1,0,0,0,1,0,2,-6.85879418,-35.13429236,SPRF-PB,DEL01-PB,UOP04-DEL01-PB
573885.0,2024-01-11,quinta-feira,02:30:00,PB,361,"75,5",PIANCO,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Crescente,Ignorado,Simples,Curva,Não,4,0,0,1,3,0,1,1,-7.190908,-37.85121,SPRF-PB,DEL03-PB,UOP01-DEL03-PB
574029.0,2024-01-11,quinta-feira,17:30:00,PB,230,159,CAMPINA GRANDE,Desrespeitar a preferência no cruzamento,Colisão transversal,Sem Vítimas,Anoitecer,Crescente,Chuva,Simples,Interseção de Vias,Sim,2,0,0,0,2,0,0,2,-7.252,-35.9334,SPRF-PB,DEL02-PB,UOP01-DEL02-PB
574037.0,2024-01-11,quinta-feira,18:52:00,PB,101,"45,2",MAMANGUAPE,Acessar a via sem observar a presença dos outros veículos,Colisão traseira,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,2,0,0,0,2,0,0,2,-6.88322894,-35.1303459,SPRF-PB,DEL01-PB,UOP04-DEL01-PB
574072.0,2024-01-11,quinta-feira,18:40:00,PB,104,143,QUEIMADAS,Acessar a via sem observar a presença dos outros veículos,Colisão frontal,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Reta,Não,3,0,0,1,2,0,1,2,-7.40477903,-35.89667929,SPRF-PB,DEL02-PB,UOP03-DEL02-PB
574090.0,2024-01-11,quinta-feira,23:30:00,PB,230,57,CRUZ DO ESPIRITO SANTO,Ingestão de álcool pelo condutor,Colisão com objeto,Sem Vítimas,Plena Noite,Decrescente,Chuva,Dupla,Reta,Não,3,0,0,0,2,2,0,4,-7.2028,-35.1125,SPRF-PB,DEL01-PB,UOP03-DEL01-PB
574322.0,2024-01-12,sexta-feira,21:50:00,PB,104,"151,3",QUEIMADAS,Manobra de mudança de faixa,Colisão frontal,Com Vítimas Feridas,Plena Noite,Decrescente,Garoa/Chuvisco,Simples,Reta,Não,2,0,1,0,0,1,1,2,-7.46590398,-35.92585804,SPRF-PB,DEL02-PB,UOP03-DEL02-PB
574584.0,2024-01-14,domingo,04:10:00,PB,101,31,RIO TINTO,Demais falhas mecânicas ou elétricas,Tombamento,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Dupla,Reta;Declive,Não,2,0,0,0,1,2,0,3,-6.758091,-35.13408691,SPRF-PB,DEL01-PB,UOP04-DEL01-PB
574776.0,2024-01-14,domingo,22:00:00,PB,230,137,MASSARANDUBA,Reação tardia ou ineficiente do condutor,Colisão com objeto,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Dupla,Curva,Não,1,0,0,0,1,0,0,1,-7.27605,-35.782045,SPRF-PB,DEL02-PB,UOP01-DEL02-PB
574913.0,2024-01-15,segunda-feira,12:14:00,PB,230,"17,8",JOAO PESSOA,Reação tardia ou ineficiente do condutor,Colisão lateral mesmo sentido,Com Vítimas Fatais,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,4,1,0,0,1,3,0,5,-7.1121,-34.8426,SPRF-PB,DEL01-PB,UOP01-DEL01-PB
575019.0,2024-01-08,segunda-feira,13:25:00,PB,101,83,BAYEUX,Acessar a via sem observar a presença dos outros veículos,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,4,0,1,0,3,0,1,4,-7.1337703,-34.92963914,SPRF-PB,DEL01-PB,UOP01-DEL01-PB
575135.0,2024-01-16,terça-feira,16:15:00,PB,230,26,JOAO PESSOA,Velocidade Incompatível,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,-7.1693,-34.8782,SPRF-PB,DEL01-PB,UOP01-DEL01-PB
575159.0,2024-01-16,terça-feira,17:00:00,PB,230,360,MALTA,Transitar na contramão,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Declive,Não,3,0,2,0,1,0,2,2,-6.9172,-37.4635,SPRF-PB,DEL03-PB,UOP02-DEL03-PB
